no
bacteriol
bal
balíst
bált
bárb
basq
bat
bbl
beir
beng
berb
bíb
bibl
bíbl
bibliof
bibliog
bibliogr
bibliol
bibliôn
bibliot
bibliotec
bibliotecon
biblog
biblol
biblon
bien
bim
bimen
biodim
biofís
biogen
biogên
biogeo
biogeog
biogeogr
biogr
biol
biom
bioq
bioquím
biot
biotip
biotipol
birm
birrel
bisp
bispd
bitr
bitrans
biz
bm
boêm
bol
boliv
bomb
bor
bord
borg
borr
bot
bpo
br
bras
bret
brig
brit
brom
bromat
btl
bud
búlg
bur
burl
buroc
c
cab
cabo-verd
caç
cad
caf
cal
calç
cálc
calcog
calcogr
cald
calig
caligr
calorim
calv
calvin
câm
can
canad
canaliz
cant
cap
capac
capit
capix
caps
capt
car
card
carid
carn
carp
carr
cart
cartogr
cast
casuís
casuíst
cat
catacr
catal
catar
catarin
categ
catol
catól
catolic
catóp
catópt
cau
caus
causalid
cav
cb
cc
ce
cear
celt
célt
cên
cenog
cent
cênt
centr
cer
cerâm
cerv
cest
cet
cf
cfr
ch
chanc
chancel
chap
chapel
chil
chin
chul
cia
ciber
cibern
cicl
cid
cien
ciênc
cient
cig
cin
cineg
cinem
cinematogr
cing
cinol
cinz
cir
circ
círc
circunscr
cirurg
cit
citol
citt
civ
cl
clas
clás
cláss
clich
clim
climatol
clín
co
cob
cód
códs
cogn
col
colet
colomb
cols
com
comb
combin
combinat
combust
comdor
comend
comerc
comp
compar
compl
compr
compt
comte
comunic
con
côn
conc
conces
concess
concl
concr
concret
cond
condic
conf
confed
confeit
confl
confls
cong
conhec
conj
conjug
conq
conquil
conquiliol
cons
consec
consel
conselh
conseq
const
constel
constrt
consuet
cont
contab
contemp
contr
coord
cop
copul
copulat
coq
cor
coreog
coreogr
corog
corogr
corp
corr
correi
corresp
corrup
corrupt
corrut
corv
cos
cosec
cosm
cosmog
cosmogr
cosmol
cost
cot
côv
cp
cr
cra
crª
créd
cresc
crim
criminol
cript
criptog
crist
cristalogr
cristand
cristian
cron
crôn
cronol
cronom
cronôn
crust
ctv
cul
culin
cult
curt
cut
cutel
cv
cvs
cx
cyat
d
d.o.u
da
dactilog
dactilogr
dactilos
dactilosc
dad
dasim
dat
dd
dec
decl
declin
decor
decr
decresc
ded
def
defect
defin
definit
del
dem
democ
democr
demog
demogr
demonstr
dens
dep
depr
deprec
deps
depto
der
deriv
derm
des
desc
descr
desemb
desemboc
desen
desin
desp
despor
desus
det
determ
dev
dez
diác
dial
dialet
dialét
dic
did
didát
diet
dif
dim
dimin
din
dinam
dinâm
dioc
dipl
diplom
dir
disc
disfem
diss
distr
doc
docs
docum
dog
dogm
dogmát
dól
dom
domin
domín
dór
dpto
dr
dr_a_
dra
drª
dram
drav
drs
dualid
dur
dúv
dz
e
ecd
ecl
écl
ecles
ecol
econ
ed
edd
edif
educ
ee
efem
egíp
el
elem
eletr
elétr
eletrodin
eletrol
eletrom
eletrôn
eletrot
elipt
em
emb
embal
embr
embriol
emigr
emol
emp
empír
empr
empreend
emprés
enc
encicl
encícl
end
endoc
energ
energét
enf
eng
enol
ens
ent
entom
entomol
enx
epig
epigr
epíst
eq
equat
equit
equiv
ergol
erud
esc
escand
escoc
escol
escolást
escr
escul
escult
esgr
esl
eslav
eslov
esot
esp
espec
especialm
especif
específ
espect
espectrogr
espel
espeleol
espet
espir
espirit
esport
esq
est
estad
estat
estatíst
estenog
estenogr
estereogr
estét
estil
estim
eston
estr
estrang
estrangeir
estrat
estratég
estrem
estrut
estud
et
etc
etim
etimol
etióp
etn
étn
etnog
etnogr
etnol
etnolog
etol
euf
eufem
eufêm
eufon
eufôn
eufor
eur
ex
ex.ª
ex.ma
ex.mo
ex.º
exa
exag
excl
exclam
exclamat
excurs
exe
exérc
exma
exmo
exmo_a_
exp
exper
experim
expl
explet
explor
explos
export
expr
express
expression
ext
extens
extrat
exx
f
fáb
fac
falc
falcoar
fam
farm
farmac
farmacol
farmacop
fasc
fascs
fauv
fed
feder
feit
fem
fen
fenom
fenôm
fer
ferrad
ferrov
feud
fev
ff
fg
fig
figd
figur
figurat
figurativ
fil
filat
filol
filos
fin
finl
fis
fís
fisc
fisioc
fisiocr
fisiocrat
fisiol
fisl
fispat
fitog
fitogr
fitol
fitopat
fitossoc
fl
flam
flex
floric
fls
flum
flumin
fluv
fm
fo
fog
fol
folc
folcl
folh
fols
fon
fonét
fonol
for
form
fórm
formul
forrag
fort
fos
fós
fot
fotoan
fotoanál
fotogr
fotom
fov
fr
frac
fracc
frag
franc
frânc
freg
frenol
freq
frig
frut
frutíf
fs
fss
ft
fulv
fund
fut
futb
futeb
futur
g
gaél
gal
galic
galv
gar
gasc
gat
gaul
gav
gea
gen
gên
geneal
genét
genov
geo
geod
geof
geofís
geog
geogn
geogr
geol
geom
geomor
geomorf
geon
geôn
ger
germ
gg
gin
ginást
ginec
ginecol
gír
gliptog
gliptogr
gliptol
gliptot
gloss
glót
glotol
gn
gnom
gót
gov
gr
graf
gráf
grafol
grafosc
gram
grav
grd
groen
groenl
gt
guar
guat
guatem
guin
gutt
guz
h
hab
hag
hagiog
hagiogr
hagiol
haplol
hast
hebd
hebr
helm
helmin
helmintol
hem
heort
heortôn
her
herál
heráld
herb
herp
herpet
herpét
herpetogr
herpetol
het
hh
hib
híb
hibr
híbr
hibrid
hidr
hidrául
hidrod
hidrog
hidrogr
hidrol
hidrom
hidrost
hidrot
hier
hierôn
hierosolim
hig
higr
hind
hip
híp
hipál
hipérb
hipiat
hipnot
hipnoter
hipoc
hipocor
hipol
hipot
hipót
hipotét
hisp
hist
histol
historiog
historiogr
hol
hom
homeo
homeop
homof
homog
homogr
homon
homôn
hon
hond
hort
hortic
hot
hotent
hum
húng
i
iat
ib
ibér
ibid
iconog
iconogr
iconol
ict
ictiol
id
idiot
idol
idolol
igr
ii
il
il.ma
il.mo
ilum
ilus
ilusion
ilustr
imigr
imit
imp
imper
imperat
imperf
impes
impess
import
impr
impres
impression
improp
impror
in
inc
incoat
incóg
ind
indef
indet
indian
indiv
indoch
indon
indost
indum
indust
indúst
inf
infan
infant
infer
infin
infinit
infinitiv
infl
inform
ing
ingl
init
ins
inscr
insep
inst
instit
int
integr
intens
interamn
interj
interjet
intern
internac
interr
interrog
interrogat
intj
intr
intrans
inus
inv
invar
invariav
invenç
invest
investig
iog
iran
iraq
irl
iron
irôn
irr
irreg
isl
islam
island
isr
it
ít
ital
itál
italian
iug
j
jam
jan
jap
jard
jardin
jav
jaz
jes
joalh
joc
jog
jorn
jornª
jr
jud
jul
jun
jur
juris
jurisp
jurispr
just
k
l
lab
laborat
labort
lact
lad
lâm
lanc
lanç
lap
lapid
larg
lat
latit
latoar
laud
lb
lda
leg
lég
legisl
légs
leit
let
lex
lib
lig
lim
limit
lin
ling
líng
lingüíst
líq
lit
liter
literat
litog
litogr
litol
lituan
litur
liturg
liv
livr
ll
loc
log
lóg
logar
logíst
lomb
long
loq
lr
ltd
ltda
ludol
lug
lund
lunf
lus
lusit
lut
luv
m
maç
maçon
mad
madeir
mag
magn
magnet
magnit
maiúsc
maj
mal
malab
malac
malacol
malai
malg
malh
mamal
man
manuf
maomet
map
maq
máq
maquinof
mar
maranh
marc
march
marchet
marg
marin
marinh
marít
marn
marr
marroq
martin
marx
masc
mat
matad
matem
mater
matogros
máx
mct
mec
mecan
mecân
mecanogr
med
méd
mediev
medv
mem
memor
mens
mer
merc
mercad
merid
met
metaf
metáf
metafis
metafór
metal
metalog
metalur
metát
meteor
meton
metr
métr
metrif
metrol
mex
mexic
mi
micol
microbiol
microfot
microg
microl
microm
microsc
microscóp
mil
min
miner
ming
minh
minúsc
miss
mist
míst
mit
mitol
mitôn
mk
ml
mm
moag
mob
moçamb
mod
moed
mon
monog
monogr
mons
mont
montanh
mor
moralid
morf
morfol
mov
mr
mrs
ms
mult
mun
mus
mús
museol
n
nac
nap
nat
natur
náu
náua
náut
nav
naz
neerl
neg
neoguin
neol
neolog
neozel
nep
neur
neutr
nicar
nicarag
nig
niger
nº
nob
nobil
nom
nor
nórd
norm
normat
nort
norueg
notic
nov
nucl
num
núm
numis
numism
nutr
o
ob
obed
obg
obr
obs
obsol
obst
obstet
oc
ocean
oceanogr
ocid
ocul
ocult
odont
odontol
of
ofid
oft
oftalm
oftalmol
olig
onç
oneol
onom
onomást
onomat
onomatop
op
opos
opp
ópt
optat
or
orat
ord
ordin
org
organiz
orig
origin
orign
orn
ornit
ornitol
orog
orogr
orôn
ort
ortogr
ortográf
ortop
ostr
otorr
otorrin
our
ouriv
out
oz
p
pa
pag
pág
pagg
págg
págs
pal
paleob
paleog
paleogr
paleont
paleontol
paleoz
pals
pan
panam
paq
paraens
parag
paraib
paral
paran
paras
parassint
parl
parn
parnas
parôn
part
partic
pass
passm
passr
passt
past
pat
patol
patr
pátr
patron
patrôn
paul
paulist
pç
pça
pdl
pe
pec
ped
pedag
pediat
pedol
pedr
pej
pel
pen
pent
peq
per
pér
perf
perfum
períf
perífr
pern
pernamb
pers
pérs
perspect
perspectiv
peruv
pes
pesc
pesq
pess
pet
petr
petrog
petrogr
petrol
petroq
pf
pg
pgto
piauien
picar
píl
pint
pinx
pirot
pirotec
pirotéc
pisc
piscic
pizz
pl
planej
plást
plat
pleb
pm
pneu
poes
poét
pol
políc
polin
polít
pop
popul
port
posit
poss
possess
pot
potam
pov
pp
pr
prác
prát
prec
preced
precis
pred
predic
pref
prep
prepos
pres
presc
presid
prest
pret
prev
prim
primit
princ
princip
priv
probl
problem
proc
prod
prof
prof.ª
prof.º
profis
profiss
profission
profs
prom
pron
pronon
pronún
prop
propag
propr
pros
prosc
prosôn
prost
prostét
prot
prót
protest
protét
protoc
protoz
prov
provav
provb
provc
provç
proven
provenç
provinc
prox
pseud
psic
psican
psicofisl
psicogn
psicol
psicopat
psiq
psiquiat
pto
pts
pub
púb
públ
public
pug
pulv
q
ql
qq
qtde
qual
qualif
quant
quantit
quart
quest
quí
quích
quím
quimb
quinz
quinzen
quir
quirom
r
rac
racion
rad
rád
radioat
radiod
radiodif
radiog
radiogr
radiol
radiot
radiotec
radiotéc
radiotécn
radioter
rall
rd
realid
rec
recip
recíp
recípr
red
ref
refl
reflex
reform
reg
regim
region
regress
rel
relaç
relat
relativ
relig
reloj
rem
rep
repart
repert
report
repúb
res
rest
restr
restrit
result
ret
retór
retrosp
rev
revers
rg
rib
rit
rod
rom
romn
rot
rr
rub
rum
rur
rus
russ
rúst
s
s.a
sab
sac
sag
sagr
sal
sals
san
sân
sâns
sânscr
sap
sapat
sarg
sát
sax
sb
sc
sch
sço
scr
scul
sec
séc
secr
sécs
sect
seg
segg
segs
sel
sem
semânt
semic
semin
semiol
semit
semít
sen
sent
sep
septent
seq
seqq
sér
serg
seric
sericic
serr
serralh
serv
sérv
set
setent
sf
sg
siam
sib
sid
sider
siderogr
siderotéc
sigil
sign
signif
síl
silog
silv
silvic
simb
símb
simbol
simból
simpl
sin
sinéd
sing
sinon
sinôn
sint
sínt
sir
sír
sist
sit
snr
soc
sociol
sól
son
sor
sór
sost
sov
soviét
sp
spp
sq
sr
sr_a_
sra
srª
sres
srv
ss
stac
sto
sub
subafl
subafls
subdiác
subj
subjunt
subord
subst
subvar
suc
sue
suec
suf
suff
suj
sul
sum
súm
sup
super
superf
superl
supl
suprf
suprl
suprs
surr
sv
t
tab
táb
tai
taí
tail
tam
tâm
tan
tang
tanoar
taquigr
tard
tát
taur
taurom
taxid
tea
teat
teatr
tec
téc
tecel
tecgo
tecn
técn
tecna
tecnog
tecnogr
tecnol
tect
tel
tele
telec
telecom
telef
teleg
telegr
telégr
telem
telev
temp
temper
ten
teol
teôn
teor
teos
ter
terap
terapêut
terat
teratol
term
térm
termin
terminol
termod
termodinâm
termom
terr
territ
tes
test
têxt
tib
tibet
tint
tip
tipogr
tipol
tir
tít
ton
tôn
top
tóp
topog
topogr
topol
topon
topôn
torp
tosc
tox
toxiol
tr
trab
trabalh
trad
tradic
tráf
trans
transit
transj
transm
transmont
transobj
transp
trat
trav
trem
trib
trig
trigon
trim
trimest
trit
triv
trop
tun
tunis
tup
tur
turc
turism
tv
u
ucr
ucraín
ucran
ult
umb
un
unif
univ
univers
urb
urban
urol
urug
us
utilid
utilit
utop
utópi
v
vad
vadm
val
var
vasc
vb
vc
vect
veg
vel
veloc
ven
venat
vend
venez
venezuel
verb
vern
veros
veross
vers
versif
vet
veter
vid
vidr
vig
vin
vinic
viol
vit
vitic
vitr
viz
vl
vla
vlc
vln
vm
vn
vo
voc
vog
vol
volat
voll
vols
vox
vs
vulc
vulg
vv
w
x
xenof
xerog
xerogr
xilog
xin
y
yd
z
zend
zo
zool
zoot
zootec
zootéc
jd
qd
lt
lts
advg
adv(s)
nr
nº
srs
num
pág
?a?
ob
cits
exmo(a)
c.f
c
1a
1o
1ª
1º
1°
2a
2o
2ª
2º
2°
3a
3o
3ª
3º
3°
4a
4o
4ª
4º
4°
5a
5o
5ª
5º
5°
6a
6o
6ª
6º
6°
7a
7o
7ª
7º
7°
8a
8o
8ª
8º
8°
9a
9o
9ª
9º
9°
10a
10o
10ª
10º
10°
11a
11o
11ª
11º
11°
12a
12o
12ª
12º
12°
13a
13o
13ª
13º
13°
14a
14o
14ª
14º
14°
15a
15o
15ª
15º
15°
16a
16o
16ª
16º
16°
17a
17o
17ª
17º
17°
18a
18o
18ª
18º
18°
19a
19o
19ª
19º
19°
20a
20o
20ª
20º
20°
21a
21o
21ª
21º
21°
22a
22o
22ª
22º
22°
23a
23o
23ª
23º
23°
24a
24o
24ª
24º
24°
25a
25o
25ª
25º
25°
26a
26o
26ª
26º
26°
27a
27o
27ª
27º
27°
28a
28o
28ª
28º
28°
29a
29o
29ª
29º
29°
30a
30o
30ª
30º
30°
31a
31o
31ª
31º
31°
32a
32o
32ª
32º
32°
33a
33o
33ª
33º
33°
34a
34o
34ª
34º
34°
35a
35o
35ª
35º
35°
36a
36o
36ª
36º
36°
37a
37o
37ª
37º
37°
38a
38o
38ª
38º
38°
39a
39o
39ª
39º
39°
40a
40o
40ª
40º
40°
41a
41o
41ª
41º
41°
42a
42o
42ª
42º
42°
43a
43o
43ª
43º
43°
44a
44o
44ª
44º
44°
45a
45o
45ª
45º
45°
46a
46o
46ª
46º
46°
47a
47o
47ª
47º
47°
48a
48o
48ª
48º
48°
49a
49o
49ª
49º
49°
50a
50o
50ª
50º
50°
51a
51o
51ª
51º
51°
52a
52o
52ª
52º
52°
53a
53o
53ª
53º
53°
54a
54o
54ª
54º
54°
55a
55o
55ª
55º
55°
56a
56o
56ª
56º
56°
57a
57o
57ª
57º
57°
58a
58o
58ª
58º
58°
59a
59o
59ª
59º
59°
60a
60o
60ª
60º
60°
61a
61o
61ª
61º
61°
62a
62o
62ª
62º
62°
63a
63o
63ª
63º
63°
64a
64o
64ª
64º
64°
65a
65o
65ª
65º
65°
66a
66o
66ª
66º
66°
67a
67o
67ª
67º
67°
68a
68o
68ª
68º
68°
69a
69o
69ª
69º
69°
70a
70o
70ª
70º
70°
71a
71o
71ª
71º
71°
72a
72o
72ª
72º
72°
73a
73o
73ª
73º
73°
74a
74o
74ª
74º
74°
75a
75o
75ª
75º
75°
76a
76o
76ª
76º
76°
77a
77o
77ª
77º
77°
78a
78o
78ª
78º
78°
79a
79o
79ª
79º
79°
80a
80o
80ª
80º
80°
81a
81o
81ª
81º
81°
82a
82o
82ª
82º
82°
83a
83o
83ª
83º
83°
84a
84o
84ª
84º
84°
85a
85o
85ª
85º
85°
86a
86o
86ª
86º
86°
87a
87o
87ª
87º
87°
88a
88o
88ª
88º
88°
89a
89o
89ª
89º
89°
90a
90o
90ª
90º
90°
91a
91o
91ª
91º
91°
92a
92o
92ª
92º
92°
93a
93o
93ª
93º
93°
94a
94o
94ª
94º
94°
95a
95o
95ª
95º
95°
96a
96o
96ª
96º
96°
97a
97o
97ª
97º
97°
98a
98o
98ª
98º
98°
99a
99o
99ª
99º
99°
100a
100o
100ª
100º
100°
sras
exmas
o.j
v.exa
cel
desora
desor
des
dsa
conv
n°
pgs
cep
dj
v.g
sr(a)
